player_id,first_name,last_name,player_name,current_club_id,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,international_caps,international_goals,current_national_team_id,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,stats_player_name,stats_position,stats_club,minutes_played,goals,assists,xG,xAG,progressive_passes,progressive_carries,dribbles_attempted,dribbles_successful,shot_creating_actions,goal_creating_actions,tackles,blocks,yellow_cards_stats,red_cards_stats
52896,,Everton Ribeiro,Everton Ribeiro,10010,Brazil,Arujá,Brazil,1989-04-10 00:00:00,Attacking Midfield,Midfield,left,174.0,2026-12-31 00:00:00,22.0,3.0,,BRA1,Esporte Clube Bahia,1000000.0,17000000.0,Everton Ribeiro,RM,Bahia,2681.0,2.0,5.0,1.2,4.3,326.0,85.0,69.0,29.0,122.0,13.0,53.0,22.0,4.0,0.0
53015,,Marcelo Lomba,Marcelo Lomba,1023,Brazil,Rio de Janeiro,Brazil,1986-12-18 00:00:00,Goalkeeper,Goalkeeper,right,189.0,2026-12-31 00:00:00,0.0,0.0,,BRA1,Sociedade Esportiva Palmeiras,75000.0,3250000.0,Marcelo Lomba,GK,Palmeiras,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53058,Renato,Augusto,Renato Augusto,2462,Brazil,Rio de Janeiro,Brazil,1988-02-08 00:00:00,Central Midfield,Midfield,right,186.0,,33.0,6.0,,BRA1,Fluminense Football Club,1500000.0,15000000.0,Renato Augusto,AM,Fluminense,442.0,1.0,1.0,0.6000000000000001,0.7,21.0,8.0,5.0,2.0,12.0,1.0,14.0,1.0,0.0,0.0
53226,,David Braz,David Braz,3876,Brazil,Guarulhos,Brazil,1987-05-21 00:00:00,Centre-Back,Defender,right,188.0,2026-11-30 00:00:00,3.0,1.0,,BRA1,Mirasol Futebol Clube,150000.0,3000000.0,,,,,,,,,,,,,,,,,,
54590,Germán,Cano,Germán Cano,2462,Argentina,Posadas,Argentina,1988-01-02 00:00:00,Centre-Forward,Attack,right,176.0,2026-12-31 00:00:00,,,,BRA1,Fluminense Football Club,500000.0,3300000.0,Germán Cano,"FW,AM",Fluminense,1598.0,4.0,0.0,5.3,1.2000000000000002,19.0,4.0,17.0,6.0,18.0,0.0,9.0,4.0,5.0,0.0
55250,,Titi,Titi,10870,Brazil,Pelotas,Brazil,1988-03-12 00:00:00,Centre-Back,Defender,left,188.0,2026-11-30 00:00:00,,,,BRA1,Fortaleza Esporte Clube,200000.0,2300000.0,Titi,CB,Fortaleza,2020.0,1.0,0.0,0.2,0.5,43.0,8.0,4.0,3.0,10.0,0.0,31.0,30.0,8.0,0.0
67144,,Léo Vieira,Léo Vieira,10010,Brazil,Suzano,Brazil,1990-09-22 00:00:00,Goalkeeper,Goalkeeper,right,193.0,2026-12-31 00:00:00,0.0,0.0,,BRA1,Esporte Clube Bahia,200000.0,200000.0,,,,,,,,,,,,,,,,,,
67920,,Ganso,Ganso,2462,Brazil,Ananindeua,Brazil,1989-10-12 00:00:00,Attacking Midfield,Midfield,left,184.0,2026-12-31 00:00:00,8.0,0.0,,BRA1,Fluminense Football Club,300000.0,18000000.0,Ganso,"AM,DM",Fluminense,2169.0,3.0,6.0,2.5,3.4,165.0,15.0,20.0,14.0,95.0,9.0,34.0,15.0,11.0,1.0
68097,,Rafael,Rafael,585,Brazil,Coronel Fabriciano,Brazil,1989-06-23 00:00:00,Goalkeeper,Goalkeeper,left,192.0,2027-12-31 00:00:00,0.0,0.0,,BRA1,São Paulo Futebol Clube,400000.0,1250000.0,Rafael,RW,Botafogo (RJ),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68290,,Neymar,Neymar,221,Brazil,Mogi das Cruzes,Brazil,1992-02-05 00:00:00,Attacking Midfield,Midfield,right,175.0,2026-12-31 00:00:00,130.0,80.0,,BRA1,Santos Futebol Clube,8000000.0,180000000.0,,,,,,,,,,,,,,,,,,
69400,,Weverton,Weverton,210,Brazil,Rio Branco,Brazil,1987-12-13 00:00:00,Goalkeeper,Goalkeeper,right,189.0,2028-12-31 00:00:00,11.0,0.0,3439.0,BRA1,Grêmio Foot-Ball Porto Alegrense,700000.0,6000000.0,Wéverton,GK,Palmeiras,3330.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,2.0,0.0
72441,Rafael,Tolói,Rafael Tolói,585,Brazil,Glória D'Oeste,Italy,1990-10-10 00:00:00,Centre-Back,Defender,right,185.0,2026-12-31 00:00:00,14.0,0.0,,BRA1,São Paulo Futebol Clube,800000.0,16000000.0,,,,,,,,,,,,,,,,,,
73741,,Souza,Souza,978,Brazil,Rio de Janeiro,Brazil,1989-02-11 00:00:00,Defensive Midfield,Midfield,right,188.0,,3.0,0.0,,BRA1,Club de Regatas Vasco da Gama,325000.0,12500000.0,,,,,,,,,,,,,,,,,,
74758,,Marinho,Marinho,2125,Brazil,Penedo,Brazil,1990-05-29 00:00:00,Right Winger,Attack,left,169.0,2026-12-31 00:00:00,,,,BRA1,Esporte Clube Vitória,200000.0,4000000.0,Marinho,FW,Fortaleza,1348.0,4.0,3.0,2.2,1.8,53.0,54.0,59.0,26.0,63.0,8.0,28.0,20.0,4.0,1.0
75080,Alan,Ruschel,Alan Ruschel,10492,Brazil,Taquara,Brazil,1989-08-23 00:00:00,Left-Back,Defender,left,176.0,2026-12-31 00:00:00,,,,BRA1,Esporte Clube Juventude,,,Alan Ruschel,LB,Juventude,2243.0,1.0,1.0,0.7,1.6,120.0,43.0,24.0,10.0,56.0,5.0,69.0,30.0,7.0,2.0
75102,,Denis,Denis,8718,Brazil,Jaú,Brazil,1987-04-14 00:00:00,Goalkeeper,Goalkeeper,left,188.0,2026-12-31 00:00:00,,,,BRA1,Sport Club do Recife,200000.0,2000000.0,,,,,,,,,,,,,,,,,,
75435,,Marcos Rocha,Marcos Rocha,210,Brazil,Sete Lagoas,Brazil,1988-12-11 00:00:00,Right-Back,Defender,right,176.0,2026-12-31 00:00:00,2.0,0.0,,BRA1,Grêmio Foot-Ball Porto Alegrense,200000.0,6000000.0,Marcos Rocha,WB,Palmeiras,1936.0,0.0,2.0,0.3,3.6,150.0,35.0,18.0,8.0,83.0,7.0,55.0,22.0,5.0,1.0
75942,Tomás,Rincón,Tomás Rincón,221,Venezuela,San Cristóbal,Venezuela,1988-01-13 00:00:00,Defensive Midfield,Midfield,right,175.0,2026-12-31 00:00:00,143.0,1.0,3504.0,BRA1,Santos Futebol Clube,100000.0,9000000.0,,,,,,,,,,,,,,,,,,
76191,,Osvaldo,Osvaldo,2125,Brazil,Fortaleza,Brazil,1987-04-11 00:00:00,Right Winger,Attack,right,170.0,2026-06-30 00:00:00,2.0,0.0,,BRA1,Esporte Clube Vitória,75000.0,4500000.0,Osvaldo,LW,Vitória,1072.0,2.0,0.0,2.3000000000000003,1.6,37.0,29.0,33.0,12.0,43.0,3.0,8.0,10.0,1.0,0.0
77100,,Lucas Moura,Lucas Moura,585,Brazil,São Paulo,Brazil,1992-08-13 00:00:00,Right Winger,Attack,right,172.0,2026-12-31 00:00:00,37.0,4.0,,BRA1,São Paulo Futebol Clube,2000000.0,40000000.0,Lucas Moura,FW,São Paulo,2246.0,10.0,6.0,4.9,2.9,131.0,87.0,100.0,48.0,103.0,12.0,27.0,17.0,4.0,0.0
79960,,Alex Sandro,Alex Sandro,614,Brazil,Catanduva,Brazil,1991-01-26 00:00:00,Left-Back,Defender,left,180.0,2026-12-31 00:00:00,46.0,2.0,,BRA1,Clube de Regatas do Flamengo,1000000.0,50000000.0,Alex Sandro,LB,Flamengo,512.0,0.0,1.0,0.4,1.6,37.0,18.0,7.0,4.0,25.0,3.0,13.0,2.0,1.0,0.0
80444,Philippe,Coutinho,Philippe Coutinho,978,Brazil,Rio de Janeiro,Brazil,1992-06-12 00:00:00,Attacking Midfield,Midfield,right,172.0,,68.0,21.0,,BRA1,Club de Regatas Vasco da Gama,7500000.0,150000000.0,Philippe Coutinho,AM,Vasco da Gama,667.0,2.0,1.0,2.1,0.9,58.0,28.0,23.0,12.0,35.0,2.0,10.0,7.0,0.0,0.0
80562,,Hulk,Hulk,2462,Brazil,Campina Grande,Brazil,1986-07-25 00:00:00,Centre-Forward,Attack,left,180.0,2027-12-31 00:00:00,49.0,11.0,,BRA1,Fluminense Football Club,1000000.0,48000000.0,Hulk,FW,Atlético Mineiro,1806.0,10.0,5.0,8.5,2.0,57.0,33.0,78.0,33.0,80.0,13.0,10.0,8.0,5.0,1.0
85314,,Oscar,Oscar,585,Brazil,Americana,Brazil,1991-09-09 00:00:00,Attacking Midfield,Midfield,right,180.0,2027-12-31 00:00:00,48.0,12.0,,BRA1,São Paulo Futebol Clube,7500000.0,40000000.0,,,,,,,,,,,,,,,,,,
95732,Martin,Braithwaite,Martin Braithwaite,210,Denmark,Esbjerg,Denmark,1991-06-05 00:00:00,Centre-Forward,Attack,right,177.0,2027-12-31 00:00:00,69.0,10.0,,BRA1,Grêmio Foot-Ball Porto Alegrense,1000000.0,12000000.0,Martin Braithwaite,FW,Grêmio,1395.0,7.0,2.0,5.2,1.2999999999999998,29.0,19.0,28.0,11.0,30.0,7.0,9.0,6.0,1.0,0.0
99439,,Danilo Fernandes,Danilo Fernandes,10010,Brazil,Guarulhos,Brazil,1988-04-03 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,0.0,0.0,,BRA1,Esporte Clube Bahia,,,Danilo Fernandes,GK,Bahia,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101469,,Gil,Gil,221,Brazil,Campos dos Goytacazes,Brazil,1987-06-12 00:00:00,Centre-Back,Defender,right,192.0,,11.0,0.0,,BRA1,Santos Futebol Clube,500000.0,7500000.0,,,,,,,,,,,,,,,,,,
101506,,Aderlan,Aderlan,221,Brazil,Campina Grande,Brazil,1990-08-18 00:00:00,Right-Back,Defender,right,180.0,,,,,BRA1,Santos Futebol Clube,800000.0,1000000.0,,,,,,,,,,,,,,,,,,
102017,,Jorginho,Jorginho,614,Brazil,Imbituba,Italy,1991-12-20 00:00:00,Defensive Midfield,Midfield,right,180.0,2028-06-30 00:00:00,57.0,5.0,,BRA1,Clube de Regatas do Flamengo,4000000.0,65000000.0,Jorginho,AM,Atlético Goianiense,73.0,0.0,1.0,0.0,0.1,5.0,2.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,0.0
103381,,Tiquinho Soares,Tiquinho Soares,3876,Brazil,Sousa,Brazil,1991-01-17 00:00:00,Centre-Forward,Attack,right,187.0,2026-12-31 00:00:00,,,,BRA1,Mirasol Futebol Clube,800000.0,12000000.0,Tiquinho Soares,FW,Botafogo (RJ),1349.0,5.0,3.0,6.7,2.1,27.0,7.0,19.0,9.0,41.0,6.0,13.0,10.0,4.0,1.0
104505,,Alan Patrick,Alan Patrick,6600,Brazil,São Paulo,Brazil,1991-05-13 00:00:00,Attacking Midfield,Midfield,right,177.0,2027-12-31 00:00:00,4.0,0.0,,BRA1,Sport Club Internacional,2000000.0,8000000.0,Alan Patrick,AM,Internacional,1777.0,8.0,3.0,7.2,8.200000000000001,128.0,35.0,58.0,34.0,127.0,13.0,22.0,17.0,3.0,0.0
106032,,Everson,Everson,330,Brazil,Pindamonhangaba,Brazil,1990-07-22 00:00:00,Goalkeeper,Goalkeeper,right,193.0,2027-12-31 00:00:00,0.0,0.0,,BRA1,Clube Atlético Mineiro,900000.0,3500000.0,Éverson,GK,Atlético Mineiro,2152.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0,1.0
106281,,Vina,Vina,2029,Brazil,Curitiba,Brazil,1991-04-15 00:00:00,Attacking Midfield,Midfield,right,177.0,2026-12-31 00:00:00,,,,BRA1,Ceará Sporting Club,,,,,,,,,,,,,,,,,,,,
110078,,Eduardo,Eduardo,3876,Brazil,Ribeirão Preto,Brazil,1989-10-17 00:00:00,Attacking Midfield,Midfield,right,184.0,2026-12-31 00:00:00,,,,BRA1,Mirasol Futebol Clube,600000.0,6000000.0,,,,,,,,,,,,,,,,,,
111819,,Neto,Neto,537,Brazil,Araxá,Brazil,1989-07-19 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2027-06-30 00:00:00,1.0,0.0,,BRA1,S. A. F. Botafogo,900000.0,18000000.0,,,,,,,,,,,,,,,,,,
112465,Sérgio,Oliveira,Sérgio Oliveira,8718,Portugal,Paços de Brandão,Portugal,1992-06-02 00:00:00,Central Midfield,Midfield,right,181.0,,13.0,0.0,,BRA1,Sport Club do Recife,2500000.0,19000000.0,,,,,,,,,,,,,,,,,,
112988,Cédric,Soares,Cédric Soares,585,Germany,Singen,Portugal,1991-08-31 00:00:00,Right-Back,Defender,right,171.0,2027-12-31 00:00:00,34.0,1.0,,BRA1,São Paulo Futebol Clube,500000.0,15000000.0,,,,,,,,,,,,,,,,,,
113586,,Manoel,Manoel,2462,Brazil,Bacabal,Brazil,1990-02-26 00:00:00,Centre-Back,Defender,right,181.0,,,,,BRA1,Fluminense Football Club,350000.0,5500000.0,Manoel,CB,Fluminense,1047.0,0.0,0.0,0.2,0.1,17.0,0.0,3.0,3.0,2.0,0.0,14.0,14.0,2.0,0.0
114937,,Dudu,Dudu,330,Brazil,Goiânia,Brazil,1992-01-07 00:00:00,Left Winger,Attack,right,166.0,2027-12-31 00:00:00,3.0,1.0,,BRA1,Clube Atlético Mineiro,800000.0,15000000.0,,,,,,,,,,,,,,,,,,
121986,,Lucas Sasha,Lucas Sasha,10870,Brazil,São Paulo,Brazil,1990-03-01 00:00:00,Defensive Midfield,Midfield,both,177.0,2026-12-31 00:00:00,,,,BRA1,Fortaleza Esporte Clube,750000.0,2000000.0,Lucas Sasha,CM,Fortaleza,1220.0,0.0,0.0,0.5,1.5,40.0,7.0,12.0,6.0,18.0,0.0,61.0,35.0,2.0,0.0
122155,,Willian José,Willian José,10010,Brazil,Porto Calvo,Brazil,1991-11-23 00:00:00,Centre-Forward,Attack,right,186.0,2026-12-31 00:00:00,0.0,0.0,,BRA1,Esporte Clube Bahia,1200000.0,30000000.0,,,,,,,,,,,,,,,,,,
123349,Zakaria,Labyad,Zakaria Labyad,199,Netherlands,Utrecht,Morocco,1993-03-09 00:00:00,Attacking Midfield,Midfield,both,175.0,2026-12-31 00:00:00,6.0,0.0,,BRA1,Sport Club Corinthians Paulista,400000.0,6000000.0,,,,,,,,,,,,,,,,,,
126239,Christian,Ortíz,Christian Ortíz,8718,Argentina,Rosario,Argentina,1992-08-20 00:00:00,Attacking Midfield,Midfield,right,170.0,2026-11-30 00:00:00,,,,BRA1,Sport Club do Recife,,,,,,,,,,,,,,,,,,,,
126422,,Allan,Allan,537,Brazil,Rio de Janeiro,Brazil,1991-01-08 00:00:00,Defensive Midfield,Midfield,right,175.0,2026-12-31 00:00:00,10.0,0.0,,BRA1,S. A. F. Botafogo,1000000.0,60000000.0,,,,,,,,,,,,,,,,,,
135057,André,Carrillo,André Carrillo,199,Peru,Lima,Peru,1991-06-14 00:00:00,Central Midfield,Midfield,right,180.0,2026-12-31 00:00:00,108.0,11.0,,BRA1,Sport Club Corinthians Paulista,800000.0,12000000.0,André Carrillo,"RM,FW",Corinthians,730.0,0.0,2.0,0.3,2.1,67.0,14.0,12.0,9.0,24.0,5.0,23.0,11.0,3.0,0.0
135617,Thiago,Mendes,Thiago Mendes,978,Brazil,São Luís,Brazil,1992-03-15 00:00:00,Defensive Midfield,Midfield,right,177.0,2027-12-31 00:00:00,,,,BRA1,Club de Regatas Vasco da Gama,1300000.0,25000000.0,,,,,,,,,,,,,,,,,,
137745,,Marçal,Marçal,537,Brazil,São Paulo,Brazil,1989-02-19 00:00:00,Left-Back,Defender,left,178.0,2026-12-31 00:00:00,,,,BRA1,S. A. F. Botafogo,200000.0,8000000.0,Fernando Marçal,LB,Botafogo (RJ),1014.0,1.0,0.0,0.3,0.6,59.0,18.0,9.0,4.0,23.0,0.0,28.0,9.0,5.0,0.0
139607,,Guilherme,Guilherme,3876,Brazil,Três Rios,Brazil,1991-05-21 00:00:00,Attacking Midfield,Midfield,left,174.0,,,,,BRA1,Mirasol Futebol Clube,1200000.0,4000000.0,Guilherme,LB,Red Bull Bragantino,704.0,1.0,1.0,0.5,0.2,18.0,9.0,11.0,5.0,12.0,2.0,18.0,9.0,1.0,0.0
139867,Robert,Arboleda,Robert Arboleda,585,Ecuador,Esmeraldas,Ecuador,1991-10-22 00:00:00,Centre-Back,Defender,right,189.0,2027-12-31 00:00:00,39.0,2.0,,BRA1,São Paulo Futebol Clube,400000.0,2500000.0,Robert Arboleda,CB,São Paulo,2256.0,2.0,0.0,1.2000000000000002,0.5,45.0,2.0,0.0,0.0,19.0,3.0,31.0,28.0,3.0,0.0
141660,Jesse,Lingard,Jesse Lingard,199,England,Warrington,England,1992-12-15 00:00:00,Attacking Midfield,Midfield,right,174.0,2026-12-31 00:00:00,32.0,6.0,,BRA1,Sport Club Corinthians Paulista,2000000.0,40000000.0,,,,,,,,,,,,,,,,,,
143817,,Léo Gamalho,Léo Gamalho,3876,Brazil,Porto Alegre,Brazil,1986-01-30 00:00:00,Centre-Forward,Attack,right,188.0,,,,,BRA1,Mirasol Futebol Clube,,,Léo Gamalho,FW,Vitória,17.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143855,,Thomazella,Thomazella,3876,Brazil,Botucatu,Brazil,1990-08-15 00:00:00,Goalkeeper,Goalkeeper,right,192.0,2026-12-31 00:00:00,,,,BRA1,Mirasol Futebol Clube,200000.0,250000.0,,,,,,,,,,,,,,,,,,
145400,Walter,Kannemann,Walter Kannemann,210,Argentina,Concepción del Uruguay,Argentina,1991-03-14 00:00:00,Centre-Back,Defender,left,184.0,2027-12-31 00:00:00,6.0,0.0,,BRA1,Grêmio Foot-Ball Porto Alegrense,350000.0,6000000.0,Walter Kannemann,CB,Grêmio,1000.0,0.0,2.0,0.6000000000000001,0.8,21.0,2.0,6.0,6.0,8.0,2.0,18.0,16.0,6.0,1.0
145573,,Richardson,Richardson,2029,Brazil,Natal,Brazil,1991-08-17 00:00:00,Defensive Midfield,Midfield,right,174.0,2026-12-31 00:00:00,,,,BRA1,Ceará Sporting Club,,,,,,,,,,,,,,,,,,,,
145707,,Danilo,Danilo,614,Brazil,Bicas,Brazil,1991-07-15 00:00:00,Centre-Back,Defender,right,184.0,2026-12-31 00:00:00,75.0,1.0,,BRA1,Clube de Regatas do Flamengo,2000000.0,25000000.0,,,,,,,,,,,,,,,,,,
147361,,Mayke,Mayke,221,Brazil,Carangola,Brazil,1992-11-10 00:00:00,Right-Back,Defender,right,178.0,2027-12-31 00:00:00,,,,BRA1,Santos Futebol Clube,1500000.0,5500000.0,Mayke,RB,Palmeiras,1035.0,1.0,0.0,1.2,0.8,73.0,20.0,11.0,8.0,36.0,2.0,36.0,13.0,7.0,0.0
147410,Raúl,Cáceres,Raúl Cáceres,2125,Paraguay,Asunción,Paraguay,1991-09-18 00:00:00,Right-Back,Defender,right,180.0,2026-12-31 00:00:00,0.0,0.0,,BRA1,Esporte Clube Vitória,,,Raúl Cáceres,RB,Vitória,1695.0,0.0,3.0,0.1,2.4,50.0,51.0,18.0,7.0,44.0,7.0,38.0,16.0,2.0,0.0
148231,Lucas,Mugni,Lucas Mugni,3876,Argentina,Santa Fe,Argentina,1992-01-12 00:00:00,Attacking Midfield,Midfield,left,184.0,2027-12-31 00:00:00,0.0,0.0,,BRA1,Mirasol Futebol Clube,200000.0,2500000.0,,,,,,,,,,,,,,,,,,
148928,Saúl,Ñíguez,Saúl Ñíguez,614,Spain,Elche,Spain,1994-11-21 00:00:00,Central Midfield,Midfield,left,184.0,2028-12-31 00:00:00,19.0,3.0,,BRA1,Clube de Regatas do Flamengo,1000000.0,90000000.0,,,,,,,,,,,,,,,,,,
149752,,Vitor Hugo,Vitor Hugo,330,Brazil,Guaraci,Brazil,1991-05-20 00:00:00,Centre-Back,Defender,left,187.0,2028-12-31 00:00:00,0.0,0.0,,BRA1,Clube Atlético Mineiro,500000.0,9000000.0,Vitor Hugo,CB,Bahia,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159372,,Felipe Anderson,Felipe Anderson,1023,Brazil,Brasília,Brazil,1993-04-15 00:00:00,Left Winger,Attack,right,175.0,2027-12-31 00:00:00,2.0,0.0,,BRA1,Sociedade Esportiva Palmeiras,1500000.0,45000000.0,Felipe Anderson,LM,Palmeiras,1310.0,2.0,2.0,3.0,4.0,57.0,46.0,42.0,24.0,57.0,7.0,35.0,25.0,0.0,0.0
159893,,Richard Costa,Richard Costa,2029,Brazil,São Paulo,Brazil,1991-03-01 00:00:00,Goalkeeper,Goalkeeper,right,186.0,2026-12-31 00:00:00,,,,BRA1,Ceará Sporting Club,,,,,,,,,,,,,,,,,,,,
160188,,Marcão,Marcão,10492,Brazil,Itabuna,Brazil,1992-03-06 00:00:00,Goalkeeper,Goalkeeper,right,195.0,2026-06-30 00:00:00,,,,BRA1,Esporte Clube Juventude,50000.0,50000.0,,,,,,,,,,,,,,,,,,
162807,Juan Martín,Lucero,Juan Martín Lucero,10870,Argentina,Mendoza,Argentina,1991-10-10 00:00:00,Centre-Forward,Attack,right,183.0,2027-12-31 00:00:00,,,,BRA1,Fortaleza Esporte Clube,,,Juan Martín Lucero,FW,Fortaleza,2246.0,8.0,3.0,6.7,2.0,27.0,13.0,10.0,3.0,36.0,3.0,17.0,9.0,8.0,0.0
162812,,Cauly,Cauly,585,Brazil,Porto Seguro,Brazil,1995-09-15 00:00:00,Attacking Midfield,Midfield,both,175.0,2026-12-31 00:00:00,,,,BRA1,São Paulo Futebol Clube,3000000.0,6000000.0,,,,,,,,,,,,,,,,,,
162883,Eduardo,Sasha,Eduardo Sasha,8793,Brazil,Porto Alegre,Brazil,1992-02-24 00:00:00,Centre-Forward,Attack,right,173.0,2027-12-31 00:00:00,,,,BRA1,Red Bull Bragantino,800000.0,5500000.0,Eduardo Sasha,"FW,LW",Red Bull Bragantino,2079.0,8.0,4.0,5.4,2.6,57.0,25.0,33.0,11.0,54.0,8.0,9.0,12.0,7.0,1.0
164013,,Gilberto,Gilberto,10492,Brazil,Piranhas,Brazil,1989-06-05 00:00:00,Centre-Forward,Attack,right,178.0,2026-11-30 00:00:00,,,,BRA1,Esporte Clube Juventude,700000.0,1400000.0,Gilberto,FW,Juventude,2058.0,4.0,2.0,3.7,2.1,79.0,66.0,48.0,27.0,50.0,5.0,44.0,16.0,3.0,0.0
167291,,Gabriel Pires,Gabriel Pires,3876,Brazil,Resende,Brazil,1993-09-18 00:00:00,Defensive Midfield,Midfield,left,187.0,2026-12-15 00:00:00,,,,BRA1,Mirasol Futebol Clube,400000.0,15000000.0,,,,,,,,,,,,,,,,,,
167724,,Diogo Barbosa,Diogo Barbosa,10870,Brazil,Terra Nova do Norte,Brazil,1992-08-17 00:00:00,Left-Back,Defender,left,179.0,,,,,BRA1,Fortaleza Esporte Clube,,,Diogo Barbosa,LB,Fluminense,1759.0,0.0,0.0,0.0,0.6000000000000001,111.0,41.0,35.0,15.0,30.0,0.0,35.0,9.0,5.0,0.0
