player_id,first_name,last_name,name_x,last_season_x,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url_x,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,club_id,club_code,name_y,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season_y,filename,url_y
75102,,Denis,Denis,2024,8718,denis,Brazil,Jaú,Brazil,1987-04-14 00:00:00,Goalkeeper,Goalkeeper,left,188.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_75102_585_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/denis/profil/spieler/75102,BRA1,Sport Club do Recife,200000.0,2000000.0,8718,sport-club-do-recife,Sport Club do Recife,BRA1,,29,27.1,1,3.4,0,Estádio Adelmar da Costa Carvalho,35000,+€2.95m,Mariano Soso,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/sport-club-do-recife/startseite/verein/8718
75435,,Marcos Rocha,Marcos Rocha,2025,210,marcos-rocha,Brazil,Sete Lagoas,Brazil,1988-12-11 00:00:00,Right-Back,Defender,right,176.0,2026-12-31 00:00:00,LINK SPORTS,https://img.a.transfermarkt.technology/portrait/header/75435-1543836089.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/marcos-rocha/profil/spieler/75435,BRA1,Grêmio Foot-Ball Porto Alegrense,200000.0,6000000.0,210,gremio-porto-alegre,Grêmio Foot-Ball Porto Alegrense,BRA1,,34,26.5,11,32.4,3,Arena do Grêmio,60540,€-6.38m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/gremio-porto-alegre/startseite/verein/210
75942,Tomás,Rincón,Tomás Rincón,2025,221,tomas-rincon,Venezuela,San Cristóbal,Venezuela,1988-01-13 00:00:00,Defensive Midfield,Midfield,right,175.0,2026-12-31 00:00:00,THE·TEAM,https://img.a.transfermarkt.technology/portrait/header/75942-1661350808.jpg?lm=1,143.0,1.0,3504.0,https://www.transfermarkt.co.uk/tomas-rincon/profil/spieler/75942,BRA1,Santos Futebol Clube,100000.0,9000000.0,221,fc-santos,Santos Futebol Clube,BRA1,,37,26.7,9,24.3,4,Estádio Urbano Caldeira,16068,+€7.21m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-santos/startseite/verein/221
76191,,Osvaldo,Osvaldo,2025,2125,osvaldo,Brazil,Fortaleza,Brazil,1987-04-11 00:00:00,Right Winger,Attack,right,170.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/76191-1681676097.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/osvaldo/profil/spieler/76191,BRA1,Esporte Clube Vitória,75000.0,4500000.0,2125,esporte-clube-vitoria,Esporte Clube Vitória,BRA1,,39,28.3,7,17.9,0,Estádio Manoel Barradas,30793,+€1.36m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/esporte-clube-vitoria/startseite/verein/2125
77100,,Lucas Moura,Lucas Moura,2025,585,lucas-moura,Brazil,São Paulo,Brazil,1992-08-13 00:00:00,Right Winger,Attack,right,172.0,2026-12-31 00:00:00,4ComM,https://img.a.transfermarkt.technology/portrait/header/77100-1654164113.jpg?lm=1,37.0,4.0,,https://www.transfermarkt.co.uk/lucas-moura/profil/spieler/77100,BRA1,São Paulo Futebol Clube,2000000.0,40000000.0,585,fc-sao-paulo,São Paulo Futebol Clube,BRA1,,42,26.4,9,21.4,3,MorumBIS,72039,+€24.69m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-sao-paulo/startseite/verein/585
79242,,Gabriel,Gabriel,2025,2125,gabriel,Brazil,Unaí,Brazil,1992-09-27 00:00:00,Goalkeeper,Goalkeeper,right,194.0,2028-12-31 00:00:00,Lipatin Sports,https://img.a.transfermarkt.technology/portrait/header/79242-1633101492.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/gabriel/profil/spieler/79242,BRA1,Esporte Clube Vitória,450000.0,2800000.0,2125,esporte-clube-vitoria,Esporte Clube Vitória,BRA1,,39,28.3,7,17.9,0,Estádio Manoel Barradas,30793,+€1.36m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/esporte-clube-vitoria/startseite/verein/2125
79960,,Alex Sandro,Alex Sandro,2025,614,alex-sandro,Brazil,Catanduva,Brazil,1991-01-26 00:00:00,Left-Back,Defender,left,180.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/79960-1751370710.jpg?lm=1,46.0,2.0,,https://www.transfermarkt.co.uk/alex-sandro/profil/spieler/79960,BRA1,Clube de Regatas do Flamengo,1000000.0,50000000.0,614,flamengo-rio-de-janeiro,Clube de Regatas do Flamengo,BRA1,,28,28.8,9,32.1,10,Estádio Jornalista Mário Filho,82238,€-13.92m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/flamengo-rio-de-janeiro/startseite/verein/614
80444,Philippe,Coutinho,Philippe Coutinho,2024,978,philippe-coutinho,Brazil,Rio de Janeiro,Brazil,1992-06-12 00:00:00,Attacking Midfield,Midfield,right,172.0,,Sports Invest UK ltd,https://img.a.transfermarkt.technology/portrait/header/80444-1746211175.jpg?lm=1,68.0,21.0,,https://www.transfermarkt.co.uk/philippe-coutinho/profil/spieler/80444,BRA1,Club de Regatas Vasco da Gama,7500000.0,150000000.0,978,vasco-da-gama-rio-de-janeiro,Club de Regatas Vasco da Gama,BRA1,,32,26.1,10,31.3,5,Estádio São Januário,24584,+€23.85m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/vasco-da-gama-rio-de-janeiro/startseite/verein/978
80562,,Hulk,Hulk,2025,2462,hulk,Brazil,Campina Grande,Brazil,1986-07-25 00:00:00,Centre-Forward,Attack,left,180.0,2027-12-31 00:00:00,Nuno Ferreira,https://img.a.transfermarkt.technology/portrait/header/80562-1563436073.jpg?lm=1,49.0,11.0,,https://www.transfermarkt.co.uk/hulk/profil/spieler/80562,BRA1,Fluminense Football Club,1000000.0,48000000.0,2462,fluminense-rio-de-janeiro,Fluminense Football Club,BRA1,,33,29.7,11,33.3,4,Estádio Jornalista Mário Filho,82238,€-6.76m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fluminense-rio-de-janeiro/startseite/verein/2462
85314,,Oscar,Oscar,2024,585,oscar,Brazil,Americana,Brazil,1991-09-09 00:00:00,Attacking Midfield,Midfield,right,180.0,2027-12-31 00:00:00,Bertolucci Sports,https://img.a.transfermarkt.technology/portrait/header/85314-1563435929.jpg?lm=1,48.0,12.0,,https://www.transfermarkt.co.uk/oscar/profil/spieler/85314,BRA1,São Paulo Futebol Clube,7500000.0,40000000.0,585,fc-sao-paulo,São Paulo Futebol Clube,BRA1,,42,26.4,9,21.4,3,MorumBIS,72039,+€24.69m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-sao-paulo/startseite/verein/585
95732,Martin,Braithwaite,Martin Braithwaite,2025,210,martin-braithwaite,Denmark,Esbjerg,Denmark,1991-06-05 00:00:00,Centre-Forward,Attack,right,177.0,2027-12-31 00:00:00,FOKUS,https://img.a.transfermarkt.technology/portrait/header/95732-1583334177.jpg?lm=1,69.0,10.0,,https://www.transfermarkt.co.uk/martin-braithwaite/profil/spieler/95732,BRA1,Grêmio Foot-Ball Porto Alegrense,1000000.0,12000000.0,210,gremio-porto-alegre,Grêmio Foot-Ball Porto Alegrense,BRA1,,34,26.5,11,32.4,3,Arena do Grêmio,60540,€-6.38m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/gremio-porto-alegre/startseite/verein/210
99439,,Danilo Fernandes,Danilo Fernandes,2024,10010,danilo-fernandes,Brazil,Guarulhos,Brazil,1988-04-03 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,IMG International,https://img.a.transfermarkt.technology/portrait/header/99439-1523613396.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/danilo-fernandes/profil/spieler/99439,BRA1,Esporte Clube Bahia,,,10010,esporte-clube-bahia,Esporte Clube Bahia,BRA1,,32,26.6,9,28.1,3,Arena Fonte Nova,47364,+€8.14m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/esporte-clube-bahia/startseite/verein/10010
101469,,Gil,Gil,2024,221,giltm,Brazil,Campos dos Goytacazes,Brazil,1987-06-12 00:00:00,Centre-Back,Defender,right,192.0,,Carlos Leite,https://img.a.transfermarkt.technology/portrait/header/101469-1523621399.jpg?lm=1,11.0,0.0,,https://www.transfermarkt.co.uk/giltm/profil/spieler/101469,BRA1,Santos Futebol Clube,500000.0,7500000.0,221,fc-santos,Santos Futebol Clube,BRA1,,37,26.7,9,24.3,4,Estádio Urbano Caldeira,16068,+€7.21m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-santos/startseite/verein/221
